ACCOUNTNO|COMPANYCODE|CONTRACTYPE|CONTRACTNO|CONTRACTNAME|BUSINESSAREA|RETOBJID|LOCATION|LOCATIONDESC|VALIDFROM|VALIDTO|CONTRSTARTDATE|FIRSTCONTREND|CONTRENDDATE|TERMINMONTHS|SECURITYDEPOSIT|UTILITYDEPOSIT|OPERATIONDEPOSIT
300001598|2000|T03|3300000000009|KUALA LUMPUR AVIATION FEULLING SYSTEM (CO.CODE:0031)|00002040|00008519|00130001|Aircraft Fuelling System|00000000|0|20080901|20480430|20480430|75|00|00|00
300001870|1000|M05|2500000000035|The Flying Emporium|00001000|00010728|00130003|CPD NA 5|00000000|0|20050601|20171231|20171231|50|03|01|01
300001294|1000|O01|5100000000013|Gold City Counter|00001000|00010857|00130449|In front of Gold City outlet|00000000|0|20110101|20130214|20171231|83|00|00|00
300001919|1000|O01|5100000000007|Hot & Roll, CP|00001000|00011018|00130028|Lot no 9|00000000|0|20120301|20130228|20171231|69|00|00|00
MAN|1000|O01|5100000000006|MAN Hersheys|00001000|00011017|00130027|Lot no 1|00000000|0|20110101|20130430|20171231|83|00|00|00
300000455|1000|M03|2300000000071|BANK ISLAM MALAYSIA|00001000|00011030|00130023|LOT CPI NA2, PASSANGER LVL|00000000|0|20150701|20180630|20180630|35|03|01|01
300002797|1000|M02|2200000000111|DOME CAFÉ|00001000|00010875|00130412|Lot SATP NA1 (C), Passanger Level Satellite.|00000000|0|20150701|20180630|20180630|35|03|01|01
300002554|1000|M02|2200000000134|FUKUYA KLIA.|00001000|00010694|00130453|SATMZ 24 AND SATMZ 2|00000000|0|20150701|20180630|20180630|35|03|01|01
300001715|1000|M02|2200000000114|STAFF CAFETERIA (RIMBA)|00001000|00010693|00130452|SATMZ 1|00000000|0|20150701|20180630|20180630|35|03|01|01
300002794|1000|M03|2300000000070|CIMB ISLAMIC BANK|00001000|00010788|00130382|Lot SATP G04, Passanger Level|00000000|0|20150701|20180630|20180630|35|03|01|01
300002814|1000|M01|2100000000085|Versace|00001000|00010710|00130469|SATP H08|00000000|0|20150701|20180630|20180630|35|03|01|01
300002446|1000|M01|2100000000086|MCM|00001000|00010709|00130468|SATP A03|00000000|20180630|20150701|20180630|20180630|35|03|01|01
300002584|1000|M05|2500000000148|Convenience Store (Al Jasmine)|00001000|00010771|00130527|LOT 4, GROUND FLOOR, BLOCK C S.T CAR PARK|00000000|0|20150701|20180630|20180630|35|03|01|01
300002408|1000|M03|2300000000058|Wellness Spa & Salon / Plaza Premium Lounge|00001400|00015384|00130070|LOT NO. S3-2-A07|00000000|0|20140501|20170430|20190430|59|00|00|00
300001520|1000|M02|2200000000115|BURGER KING (SAT)|00001000|00010755|00130512|F&B S04 - H SBML|00000000|0|20150701|20180630|20180630|35|03|01|01
300001919|1000|M02|2200000000131|O'BRIENS|00001000|00010756|00130513|Lot SATMZ 3 (a) - (b), Mezzanine Level Satellite|00000000|0|20150701|20180630|20180630|35|03|01|01
300002820|1000|M02|2200000000141|THE OLIVE TREE|00001000|00010753|00130510|Lot SATMZ 4, Satellite|00000000|0|20150701|20180630|20180630|35|03|01|01
300002816|1000|O01|5100000000003|Chocolate Level 3 - Multi Trading|00001000|00010356|00130144|Lot no 7|00000000|0|20121201|20130228|20171031|58|00|00|00
300001919|1000|O01|5100000000000|Hot & Roll - Arrival Hall|00001000|00010254|00130172|Lot no 3|00000000|0|20120301|20130228|20171231|69|00|00|00
300002158|1000|M02|2200000000118|NELSON'S KIOSK.|00001000|00010416|00130148|MTBAP NA2|00000000|0|20150701|20180630|20180630|35|03|01|01
MAN|1000|M05|2500000000133|Convenience Store (Airport Shoppe)|00001000|00010419|00130151|MTBAP 7a&b|00000000|0|20150701|20180630|20180630|35|00|00|00
MAN|1000|M05|2500000000144|Chocolate & Confectionery (MA(N) - Arrival)|00001000|00010418|00130150|MTBAP 06a|00000000|0|20150701|20180630|20180630|35|00|00|00
300002754|3000|C01|4100000000003|Ipoh Airport - Self Managed Car Park|00003012|00008950|00130002|Car Park|00000000|0|20130301|00021130|0|41|00|00|00
300001493|1000|O01|5100000000049|Chocolate Level 5 - Multi Trading|00001000|00010450|00130311|Lot no 3|00000000|0|20130301|20130331|20171231|57|00|00|00
300003007|1000|O01|5100000000134|Swatch Promotion @ KLIA|00001000|00010447|00130308|Lot no 9 & 10|20150201|20150831|20140801|20140831|20171231|40|00|00|00
300003007|1000|O01|5100000000134|Swatch Promotion @ KLIA|00001000|00010447|00130308|Lot no 9 & 10|20151113|0|20140801|20140831|20171231|40|00|00|00
MAN|1000|O01|5100000000084|MAN Lindt|00001000|00014310|00130685|Lot no 1, Contact Pier Building, KL International Airport|00000000|0|20130501|20130731|20171231|55|00|00|00
300002540|1000|M02|2200000000132|Boost Juice Bars|00001000|00015346|00130700|LOT SATMZ 9|00000000|0|20150701|20180630|20180630|35|03|01|01
300004158|1000|M05|2500000000117|The Flying Emporium|00001400|00016497|00130041|LOT NO. S2-2-A29|00000000|0|20140501|20170430|20190430|59|00|00|00
300004158|1000|M05|2500000000117|The Flying Emporium|00001400|00016498|00130042|LOT NO. S2-2-A30|00000000|0|20140501|20170430|20190430|59|00|00|00
300002343|3000|M02|2200000000143|OTK (GENTING)|00003051|00010094|00130051|LOT L1L05, T1|00000000|0|20150501|20180430|20180430|35|05|00|00
300000026|3000|M03|2300000000092|CIMB BANK|00003051|00010091|00130054|LOT L1L01 (C6), LEVEL 1 (LANDSIDE)|00000000|20170331|20150801|20180731|20180731|35|03|00|00
300001605|1000|M02|2200000000107|Uncle D's Cafeteria|00001400|00017842|00130311|Lot No. LS2-1-45|00000000|0|20140901|20170831|20190831|59|00|00|00
300001605|1000|M02|2200000000107|Uncle D's Cafeteria|00001400|00017841|00130312|Lot No. AS5-1-62a|00000000|0|20140901|20170831|20190831|59|00|00|00
300004907|1000|M05|2500000000127|Rasa Tidbits|00001400|00018882|00130323|Lot No. S5-1a-A06|00000000|0|20141001|20170930|20190930|59|00|00|00
300002371|1000|M03|2300000000067|Excel Wrap & Go|00001400|00016515|00130049|LOT NO. S2-3-L02b|00000000|0|20150401|20180331|20180331|35|00|00|00
300002371|1000|M03|2300000000067|Excel Wrap & Go|00001400|00016557|00130098|LOT NO. S2-3-L37d|00000000|0|20150401|20180331|20180331|35|00|00|00
300002514|1000|M01|2100000000071|Khazanah Home Decor & Gifts|00001400|00015397|00130133|LOT NO. S6-2-A19|00000000|0|20140501|20170430|20190430|59|00|00|00
MAN|1000|M05|2500000000100|Sunglasses|00001400|00016556|00130109|LOT NO. S2-3-A47|00000000|0|20140501|20170430|20190430|59|00|00|00
300003448|1000|M05|2500000000079|be™|00001400|00016476|00130112|LOT NO. S4-3-A01|00000000|0|20140501|20170430|20190430|59|00|00|00
300003448|1000|M05|2500000000079|be™|00001400|00016477|00130113|LOT NO. S4-3-A02|00000000|0|20140501|20170430|20190430|59|00|00|00
300003448|1000|M05|2500000000079|be™|00001400|00016478|00130114|LOT NO. S4-3-A03|00000000|0|20140501|20170430|20190430|59|00|00|00
300003448|1000|M05|2500000000079|be™|00001400|00016479|00130115|LOT NO. S4-3-A04|00000000|0|20140501|20170430|20190430|59|00|00|00
300001975|1000|M06|2600000000004|Starbucks Coffee|00001000|00019706|00130754|Lot CP 20|00000000|20180331|20150401|20180331|20180331|35|03|01|01
300002808|1000|M02|2200000000125|KENTUCKY FRIED CHICKEN|00001000|00019735|00130769|MTBDL 15k, 16 & 16a|00000000|0|20150701|20180630|20180630|35|03|01|01
300001520|1000|M02|2200000000121|BURGER KING (MTB)|00001000|00019731|00130765|MTBAL 4b|00000000|0|20150701|20180630|20180630|35|03|01|01
300001520|1000|M02|2200000000122|CAFÉ BARBERA|00001000|00019728|00130762|MTBDL 13e|00000000|0|20150701|20180630|20180630|35|03|01|01
300001092|1000|M02|2200000000129|MCDONALD'S|00001000|00019734|00130768|MTBDL 18b|00000000|0|20150701|20180630|20180630|35|03|01|01
300001631|1000|M02|2200000000135|THE BONES|00001000|00010747|00130505|Lot SATMZ 16(a)-(b), Mezzanine Level|00000000|0|20150701|20180630|20180630|35|03|01|01
MAN|1000|M02|2200000000138|MA NIAGA|00001000|00010745|00130566|Lot 19 CPD - MarryBrown|00000000|0|20150701|20180630|20180630|35|00|00|00
300000204|1000|M03|2300000000069|Malayan Banking|00001000|00010668|00130489|SATP A05 - BDC|00000000|0|20150701|20180630|20180630|35|03|01|01
300001520|1000|M02|2200000000093|Popeyes Chicken|00001400|00016396|00130158|LOT NO. S6-3-A04|00000000|0|20140501|20170430|20190430|59|00|00|00
300000078|1000|M05|2500000000104|Beauty Express|00001400|00016534|00130085|LOT NO. S2-3-L15|00000000|0|20140501|20170430|20190430|59|00|00|00
300002693|1000|M05|2500000000095|WH Smith|00001400|00016488|00130143|LOT NO. S6-2-A29|00000000|0|20140501|20170430|20190430|59|00|00|00
300001975|1000|M02|2200000000116|STARBUCKS COFFEE|00001000|00010681|00130494|Lot SATMZ 17(a)-(b)&18 Mezz Level Satellite|00000000|0|20150701|20180630|20180630|35|03|01|01
300001949|1000|M05|2500000000143|Mystical Borneo|00001000|00010675|00130480|SATP B02|00000000|0|20150701|20180630|20180630|35|03|01|01
300002820|1000|M02|2200000000140|SECRET RECIPE|00001000|00019733|00130767|MTBDL 31 & 31(a)|00000000|0|20150701|20180630|20180630|35|03|01|01
300001919|1000|M02|2200000000120|DELI 'N' MEAL|00001000|00010947|00130101|MTBGL 01|00000000|0|20150701|20180630|20180630|35|03|01|01
300001665|1000|M05|2500000000116|PEDRO, TUMI, HUGO BOSS & MICHAEL KORS|00001400|00015393|00130147|LOT NO. S6-2-A34|00000000|0|20140501|20170430|20190430|59|00|00|00
300001665|1000|M05|2500000000116|PEDRO, TUMI, HUGO BOSS & MICHAEL KORS|00001400|00015395|00130149|LOT NO. S6-2-A36|00000000|0|20140501|20170430|20190430|59|00|00|00
300001665|1000|M05|2500000000116|PEDRO, TUMI, HUGO BOSS & MICHAEL KORS|00001400|00015396|00130150|LOT NO. S6-2-A37|00000000|0|20140501|20170430|20190430|59|00|00|00
300001665|1000|M05|2500000000116|PEDRO, TUMI, HUGO BOSS & MICHAEL KORS|00001400|00015394|00130148|LOT NO. S6-2-A35|20170501|0|20140501|20170430|20190430|59|00|00|00
300004071|1000|M01|2100000000057|Karyaneka.|00001400|00016508|00130139|LOT NO. S6-2-A25|00000000|0|20140501|20170430|20190430|59|00|00|00
300004158|1000|M05|2500000000117|The Flying Emporium|00001400|00016496|00130040|LOT NO. S2-2-A28|00000000|0|20140501|20170430|20190430|59|00|00|00
300001520|1000|M02|2200000000128|FOOD PARADISE|00001000|00019730|00130764|MTBML 10|00000000|0|20150701|20180630|20180630|35|03|01|01
300002569|1000|M02|2200000000090|The Baker's Cottage|00001400|00016392|00130066|LOT NO. S3-1a-A18|00000000|0|20140501|20170430|20190430|59|00|00|00
300005248|1000|M02|2200000000108|Killeney Kopitiam|00001400|00016418|00130071|LOT NO. S3-2-A08|00000000|20171231|20150101|20171231|20171231|35|00|00|00
300001500|1000|M05|2500000000128|The Zon|00001400|00016529|00130068|LOT NO. S3-2-A05|00000000|0|20150101|20171231|20191231|59|00|00|00
300004066|1000|M03|2300000000063|Muamalat Bureau De Change|00001000|00010478|00130283|Lot MTBD 12a|00000000|0|20141001|20170930|20180630|44|03|01|01
300001949|1000|O01|5100000000178|King of Fruits Promotion @ MTB, KLIA|00001000|00010545|00130313|Lot no 11|00000000|0|20150318|20150331|20171231|33|00|00|00
300003007|1000|O01|5100000000134|Swatch Promotion @ KLIA|00001000|00010545|00130313|Lot no 11|00000000|20150131|20140801|20140831|20171231|40|00|00|00
300003007|1000|O01|5100000000134|Swatch Promotion @ KLIA|00001000|00010547|00130315|Lot no 12|20150901|20151112|20140801|20140831|20171231|40|00|00|00
300001283|1000|M01|2100000000059|Royal Selangor|00001400|00016568|00130137|LOT NO. S6-2-A23|00000000|0|20140501|20170430|20190430|59|00|00|00
300004048|1000|M05|2500000000109|Heng Heng Local Delights|00001400|00015368|00130090|LOT NO. S2-3-L20|00000000|0|20140501|20170430|20190430|59|00|00|00
300002693|1000|M06|2600000000001|WHSmith and O'briens|00001400|00016544|00130086|LOT NO. S2-3-L16|00000000|0|20140501|20170430|20190430|59|00|00|00
MAN|1000|M02|2200000000077|Gloria Jean's Coffees|00001400|00016419|00130067|LOT NO. S3-2-A04|00000000|0|20140501|20170430|20190430|59|00|00|00
300002693|1000|M06|2600000000001|WHSmith and O'briens|00001400|00016558|00130168|LOT NO. S2-3a-L02|00000000|0|20140501|20170430|20190430|59|00|00|00
300004038|1000|M05|2500000000106|Caring Pharmacy|00001400|00016505|00130105|LOT NO. S2-3-A42|00000000|0|20140501|20170430|20190430|59|00|00|00
300000026|1000|M03|2300000000060|CIMB Bank|00001400|00016542|00130092|LOT NO. S2-3-L33|00000000|0|20140501|20170430|20190430|59|00|00|00
300002408|1000|M03|2300000000080|PLAZA PREMIUM LOUNGE (M)|00001000|00010752|00130588|CIP 10, 11, 12 Mezzanine Lvl|00000000|0|20150701|20180630|20180630|35|00|00|00
300001949|1000|O01|5100000000180|Made In Malaysia Promotion|00001000|00010862|00130584|Lot No 4,Satellite Building|00000000|0|20150529|20150630|20171231|31|00|00|00
300004158|1000|M05|2500000000117|The Flying Emporium|00001400|00016499|00130037|LOT NO. S2-2-A20|00000000|20170430|20140501|20170430|20190430|59|00|00|00
300004158|1000|M05|2500000000117|The Flying Emporium|00001400|00016494|00130038|LOT NO. S2-2-A21|00000000|0|20140501|20170430|20190430|59|00|00|00
300004158|1000|M05|2500000000117|The Flying Emporium|00001400|00016495|00130039|LOT NO. S2-2-A22|00000000|0|20140501|20170430|20190430|59|00|00|00
300004077|1000|M02|2200000000070|Bread & Batter|00001400|00016417|00130027|LOT NO. S5-1a-A09|00000000|0|20140501|20170430|20190430|59|00|00|00
300000204|1000|M03|2300000000052|Bureau De Change (BDC)|00001400|00016584|00130035|LOT NO. S2-2-A35|00000000|0|20140501|20170430|20190430|59|00|00|00
300002408|1000|M03|2300000000058|Wellness Spa & Salon / Plaza Premium Lounge|00001400|00015403|00130157|LOT NO. S6-3-A03|00000000|0|20140501|20170430|20190430|59|00|00|00
300001500|1000|M05|2500000000129|The Zon.|00001400|00015386|00130069|LOT NO. S3-2-A06|00000000|0|20150101|20171231|20191231|59|00|00|00
300002144|1000|M02|2200000000097|DOME Cafe|00001400|00016409|00130102|LOT NO. S2-3-L41|00000000|0|20140501|20170430|20190430|59|00|00|00
300002808|1000|M02|2200000000085|KFC|00001400|00016546|00130079|LOT NO. S2-3-L08|00000000|0|20140501|20170430|20190430|59|00|00|00
300004061|1000|M02|2200000000087|PappaRich Express|00001400|00016551|00130053|LOT NO. S2-3-L05|00000000|0|20140501|20170430|20190430|59|00|00|00
300004061|1000|M02|2200000000087|PappaRich Express|00001400|00016552|00130073|LOT NO. S2-3-L05A|00000000|0|20140501|20170430|20190430|59|00|00|00
300002536|1000|M05|2500000000082|Milano Eyes Fashion|00001400|00016571|00130127|LOT NO. S6-2-A13|00000000|0|20140501|20170430|20190430|59|00|00|00
300001501|1000|M01|2100000000060|The Body Shop|00001400|00016487|00130083|LOT NO. S2-3-L13|00000000|0|20140501|20170430|20190430|59|00|00|00
300001500|1000|M05|2500000000125|The Zon|00001400|00018877|00130313|Lot No. S6-2-A05|00000000|0|20140501|20170430|20190430|59|00|00|00
300001500|1000|M05|2500000000125|The Zon|00001400|00018878|00130314|Lot No. S6-2-A33|00000000|0|20140501|20170430|20190430|59|00|00|00
300002344|1000|M02|2200000000123|DUNKIN' DONUTS|00001000|00010417|00130149|MTBAP NA1|00000000|0|20150701|20180630|20180630|35|03|01|01
300002350|1000|M02|2200000000124|JONKER WALK KOPITIAM|00001000|00010726|00130001|Lot CPD 19e|00000000|0|20150701|20180630|20180630|35|03|01|01
MAN|1000|M06|2600000000002|Eraman Duty Free & Sky Bar|00001400|00016438|00130155|LOT NO. S6-3-A01|00000000|0|20140501|20170430|20190430|59|00|00|00
MAN|1000|M06|2600000000002|Eraman Duty Free & Sky Bar|00001400|00016439|00130164|LOT NO. S6-3-A18|00000000|0|20140501|20170430|20190430|59|00|00|00
MAN|1000|M06|2600000000002|Eraman Duty Free & Sky Bar|00001400|00016440|00130165|LOT NO. S6-3-A19|00000000|0|20140501|20170430|20190430|59|00|00|00
MAN|1000|M06|2600000000002|Eraman Duty Free & Sky Bar|00001400|00016441|00130167|LOT NO. S4-3-A05|00000000|0|20140501|20170430|20190430|59|00|00|00
300000204|1000|M03|2300000000075|Malayan Banking|00001000|00010479|00130284|MTBD 13b (MBB)|00000000|0|20150701|20180630|20180630|35|03|01|01
300002816|1000|O01|5100000000163|Chocolate Promo - Satellite Building, KLIA|00001000|00010856|00130448|Lot no 5|00000000|20160930|20150213|20150313|20171031|32|00|00|00
60500|1000|M05|2500000000138|Karyaneka (SAT)|00001000|00010674|00130481|SATP C05|00000000|0|20150701|20180630|20180630|35|03|01|01
300000026|1000|M02|2200000000142|CIMB BANK (e-Banking & F&B - OldTown)|00001000|00010477|00130282|Lot MTBD S4 - E-Banking n F&B|00000000|20180630|20150701|20180630|20180630|35|03|01|01
300004909|1000|M03|2300000000065|Santai Reflexology|00001400|00018879|00130320|Lot No. S2-3-L22|00000000|0|20141001|20170930|20190930|59|00|00|00
300004058|1000|M02|2200000000091|Bumbu Desa|00001400|00016547|00130077|LOT NO. S2-3-L07|00000000|0|20140501|20170430|20190430|59|00|00|00
300002229|1000|M01|2100000000074|Carlo Rino|00001400|00015388|00130084|LOT NO. S2-3-L14|00000000|0|20140501|20170430|20190430|59|00|00|00
300003196|1000|M02|2200000000095|THE GREEN MARKET|00001400|00016397|00130099|LOT NO. S2-3-L38|00000000|0|20140501|20170430|20190430|59|00|00|00
300001975|1000|M02|2200000000096|Starbucks Coffee|00001400|00016513|00130047|LOT NO. S2-3-L01|00000000|0|20140501|20170430|20190430|59|00|00|00
MAN|1000|M01|2100000000083|Swarovski|00001000|00010879|00130416|SATP F05|00000000|0|20150701|20180630|20180630|35|00|00|00
MAN|1000|M02|2200000000079|Bibik Heritage|00001400|00016528|00130101|LOT NO S2-3-L40|00000000|0|20140501|20170430|20190430|59|00|00|00
