ACCOUNTNO|COMPANYCODE|CONTRACTYPE|CONTRACTNO|CONTRACTNAME|BUSINESSAREA|RETOBJID|LOCATION|LOCATIONDESC|VALIDFROM|VALIDTO|CONTRSTARTDATE|FIRSTCONTREND|CONTRENDDATE|TERMINMONTHS|SECURITYDEPOSIT|UTILITYDEPOSIT|OPERATIONDEPOSIT
300001500|1000|M05|2500000000184|The Zon|00001400|00015370|00130122|LOT NO. S6-2-A08|00000000|0|20151201|20181130|20181130|35|00|00|00
300001500|1000|M05|2500000000153|The Zon Duty Free (Liqour & Tobacco)|00001000|00010953|00130107|MTB AI 09|00000000|0|20150701|20180630|20180630|35|03|01|01
300002693|1000|M05|2500000000185|WHSmith Express|00001000|00010831|00130424|LOT SATP F01& FO2(a)|00000000|20181231|20160101|20181231|20181231|35|03|01|01
300000078|1000|M01|2100000000113|Giorgio Armani Cosmetics|00001000|00017339|00130709|SAT 2|00000000|0|20160101|20181231|20181231|35|03|01|01
300001665|1000|M01|2100000000097|Godiva|00001000|00010702|00130461|SATP C31-C37 (b)|00000000|0|20150701|20180630|20180630|35|03|01|01
300001604|1000|M02|2200000000148|Harrods - Cafe|00001000|00011020|00130568|CONCESSION CP 21a (F&B)|00000000|0|20150701|20180630|20180630|35|03|01|01
300001975|1000|O01|5100000000248|S6 - Starbucks|00001400|00022287|00130431|No 1, S6-L2-A41, Sector 6, klia2|00000000|0|20160601|20160630|20171231|18|00|00|00
300002329|1000|M05|2500000000156|7-Eleven|00001000|00010262|00130180|LOT MTBAP R6 ARRIVAL LEVEL MTBD|00000000|0|20150701|20180630|20180630|35|03|01|01
300000078|1000|M01|2100000000090|L'Occitane|00001000|00010877|00130414|SATP F04|00000000|0|20150701|20180630|20180630|35|03|01|01
300002816|1000|M05|2500000000160|Chocolate & Confectionery (Multi Tradings & Supplies - Depar|00001000|00010572|00130248|MTBD 12C|00000000|0|20150701|20180630|20180630|35|03|01|01
300002679|1000|M01|2100000000093|Longchamp|00001000|00010712|00130471|SATP A02|00000000|0|20150701|20180630|20180630|35|03|01|01
300002153|1000|M05|2500000000165|Habib|00001000|00010850|00130442|SATP DE02|00000000|0|20150701|20180630|20180630|35|03|01|01
300001665|1000|M05|2500000000170|Coach, Mont Blanc, Hermes|00001000|00010703|00130462|SATP C31-C37 (a)|00000000|0|20150701|20180630|20180630|35|03|01|01
300001665|1000|M05|2500000000170|Coach, Mont Blanc, Hermes|00001000|00010704|00130463|SATP C31-C37 (c')|00000000|0|20150701|20180630|20180630|35|03|01|01
300001665|1000|M05|2500000000170|Coach, Mont Blanc, Hermes|00001000|00010705|00130464|SATP C31-C37 (d)|00000000|0|20150701|20180630|20180630|35|03|01|01
300001500|1000|M05|2500000000183|The Zon|00001400|00016462|00130146|LOT NO. S6-2-A32|00000000|20181130|20151201|20181130|20181130|35|00|00|00
300004069|1000|M02|2200000000154|THE LIVING ROOM - BAR & KITCHEN|00001400|00016414|00130151|LOT NO. S6-2-A38|00000000|0|20150801|20180731|20180731|35|00|00|00
300003156|1000|M01|2100000000112|Kashkha|00001000|00010263|00130181|LOT NO. MTBAP R1|00000000|0|20151201|20181130|20181130|35|03|01|01
300004046|1000|M02|2200000000160|Little Cafe|00001400|00016511|00130065|LOT NO. S3-1a-A17|00000000|0|20160801|20170430|20190430|32|00|00|00
MAN|1000|M05|2500000000193|Duty Free Kiosks|00001000|00010837|00130430|K2 SATP|00000000|0|20150701|20180630|20180630|35|00|00|00
MAN|1000|M05|2500000000193|Duty Free Kiosks|00001000|00010844|00130436|K1 SATP|00000000|0|20150701|20180630|20180630|35|00|00|00
MAN|1000|M05|2500000000193|Duty Free Kiosks|00001000|00010713|00130472|K3 SATP|00000000|0|20150701|20180630|20180630|35|00|00|00
MAN|1000|M05|2500000000154|Perfumes & Cosmetics (MA(N) - Departure)|00001000|00010577|00130253|MTBD NA 3|00000000|0|20150701|20180630|20180630|35|00|00|00
300001605|1000|M02|2200000000150|OLD MALAYA KOPITIAM|00001000|00010691|00130504|Lot SATMZ 10 (a) - (b), Mezzanine Level Satellite|00000000|0|20150701|20180630|20180630|35|03|01|01
300002693|1000|M05|2500000000163|WH Smith|00001000|00010665|00130486|SATP B03|00000000|0|20150701|20180630|20180630|35|03|01|01
300000078|1000|M05|2500000000158|Perfumes & Cosmetics (C&F)|00001000|00010697|00130456|SATP J31|00000000|0|20150701|20180630|20180630|35|03|01|01
300002514|1000|M05|2500000000172|Khazanah (MTB)|00001000|00010645|00130265|MTBDL 12B|00000000|0|20150701|20180630|20180630|35|03|01|01
MAN|1000|M01|2100000000110|Bally|00001000|00010858|00130450|SATP H04|00000000|20180831|20150901|20180831|20180831|35|00|00|00
300000026|1000|M03|2300000000083|CIMB BANK|00001000|00010476|00130281|SERVICES MTBD 14b|00000000|0|20151101|20181031|20181031|35|03|01|01
MAN|1000|M05|2500000000189|ERAMAN DUTY FREE|00001400|00016383|00130145|LOT NO. S6-2-A31|00000000|20170430|20151101|20181031|20181031|35|00|00|00
300001515|1000|M03|2300000000084|RHB BANK|00001000|00010480|00130285|CONCESSION MTBD 13a (RHB)|00000000|0|20151201|20171130|20171130|23|03|01|01
300000808|1000|M05|2500000000162|Candy Land|00001000|00010951|00130105|MTB AI 10b|00000000|0|20150701|20180630|20180630|35|03|01|01
300001693|1000|M01|2100000000091|Bonia Boutique|00001000|00010635|00130255|MTBD 12d|00000000|0|20150701|20180630|20180630|35|03|01|01
300002227|1000|M01|2100000000092|Sembonia (MTB)|00001000|00010637|00130257|MTBD 15a|00000000|0|20150701|20180630|20180630|35|03|01|01
300001604|1000|M01|2100000000098|Harrods|00001000|00011028|00130021|CPI 21|00000000|0|20150701|20180630|20180630|35|03|01|01
300001631|1000|M02|2200000000149|NOOODLES|00001000|00010549|00130317|Lot no 14|00000000|0|20150701|20180630|20180630|35|03|01|01
300005281|1000|M05|2500000000164|Guardian Pharmacy|00001000|00010672|00130483|SATP C03|00000000|0|20150701|20180630|20180630|35|03|01|01
300002519|1000|M01|2100000000100|Charles & Keith|00001000|00010882|00130419|SATP G05 C|00000000|0|20150701|20180630|20180630|35|03|01|01
300001870|1000|M01|2100000000101|Victoria Secret|00001000|00010708|00130467|SATP H05|00000000|0|20150701|20180630|20180630|35|03|01|01
300002803|1000|M01|2100000000102|Tumi|00001000|00010677|00130478|SATP C03(a)|00000000|0|20150701|20180630|20180630|35|03|01|01
300002153|1000|M01|2100000000096|PANDORA|00001000|00010851|00130443|SATP DE04|00000000|0|20150701|20180630|20180630|35|03|01|01
300002820|1000|M02|2200000000156|Secret Recipe|00001000|00010761|00130518|Lot SATMZ 8, Satellite|00000000|20181130|20151201|20181130|20181130|35|03|01|01
300001605|1000|M02|2200000000151|Malaysia Recipe Cafe|00001000|00010692|00130451|Lot SATP AH05, Passanger Level Satellite|00000000|0|20150701|20180630|20180630|35|03|01|01
300002754|1000|C01|4100000000039|Block C - Self Managed Car Park. (Cont fr 4100000000031 May 2017)|00001000|00010766|00130523|Self Managed Car Park|00000000|0|20170101|00021130|0|95|00|00|00
300002810|1000|M01|2100000000117|Hugo Boss|00001000|00010706|00130465|SATP H02|00000000|20180630|20170501|20180630|20180630|13|00|00|00
300005580|1000|M02|2200000000164|Bento Cafeteria|00001000|00011025|00130030|CF 02 CP|00000000|20191130|20161201|20191130|20191130|35|00|00|00
300002754|1000|C01|4100000000034|Self Managed Car Park - Long Term Car Park|00001000|00024048|00130925|Self Managed Car Park - Long Term Car Park|00000000|0|20170401|00021130|0|92|00|00|00
300001665|1000|M01|2100000000115|Tory Burch|00001000|00010707|00130466|SATP H03|00000000|20200430|20170501|20200430|20200430|35|00|00|00
MAN|1000|M02|2200000000168|Gloria Jean's Coffee.|00001000|00010647|00130267|Lot MTBD S8, Departure Level|00000000|20190131|20170201|20190131|20190131|23|00|00|00
300002754|1000|C01|4100000000037|Block A - Self Managed Car Park. (Cont fr 4100000000029 May 2017)|00001000|00010764|00130521|Self Managed Car Park|00000000|0|20170101|00021130|0|95|00|00|00
300002408|1000|M03|2300000000089|Plaza Premium Lounge|00001000|00010683|00130496|CIP 1a|00000000|20181130|20161201|20181130|20181130|23|00|00|00
300002408|1000|M03|2300000000089|Plaza Premium Lounge|00001000|00010684|00130497|CIP 1b|00000000|0|20161201|20181130|20181130|23|00|00|00
300002408|1000|M03|2300000000088|Wellness Spa & Salon|00001000|00010833|00130426|LOT SATMZ 21|00000000|20181130|20161201|20181130|20181130|23|00|00|00
300002754|1000|C01|4100000000038|Block B - Self Managed Car Park. (Cont fr 4100000000030 May 2017)|00001000|00010765|00130522|Self Managed Car Park|00000000|0|20170101|00021130|0|95|00|00|00
300005713|1000|O01|5100000000278|Spa Ceylon Promotion|00001000|00010856|00130448|Lot no 5|00000000|0|20161012|20161031|20171031|12|00|00|00
300001919|1000|M02|2200000000165|O'Briens|00001400|00015377|00130132|LOT NO. S6-2-A18|00000000|20190131|20170201|20190131|20190131|23|00|00|00
300005734|1000|M06|2600000000006|Agrobazaar MALAYSIA|00001400|00016382|00130081|LOT NO. S2-3-L11|00000000|20180731|20160801|20180731|20180731|23|00|00|00
300002754|1000|C01|4100000000040|Block D - Self Managed Car Park. (Cont fr 4100000000032 May 2017)|00001000|00010767|00130524|Self Managed Car Park|00000000|0|20170101|00021130|0|95|00|00|00
300001919|1000|M02|2200000000161|Hot & Roll|00001400|00019051|00130352|Lot No. S1-1a-A17|00000000|20180831|20150901|20180831|20180831|35|00|00|00
300002584|1000|M05|2500000000195|JAS-MART|00001000|00011014|00130549|LOT 2&3 BLOCK B STCP|00000000|0|20170201|20180630|20180630|16|00|00|00
300002816|1000|O01|5100000000163|Chocolate Promo - Satellite Building, KLIA|00001000|00023122|00130896|Lot no 6, Satellite Building, Building, KLIA|20161001|0|20150213|20150313|20171031|32|00|00|00
300001503|1000|O01|5100000000234|ENERGIZER PROMOTION (iTRAVEL)|00001000|00022048|00130866|LOT MTBD 13C (Casual Leasing)|00000000|0|20160315|20160414|20171231|21|00|00|00
300002408|1000|M02|2200000000159|Flight Club grab 'n' go|00001000|00022303|00130852|Lot SATMZ 6(a)-(b)|00000000|20181231|20160101|20181231|20181231|35|03|01|01
300005777|1000|M02|2200000000166|M&N Vision|00001000|00024509|00130908|LOT NO. MTBDL AVM02a|00000000|0|20170101|20191231|20191231|35|00|00|00
300002584|1000|O01|5100000000255|JS MART PRODUCT DISPLAY|00001000|00022412|00130878|Lot 3, STCP Block B, KLIA|00000000|0|20160416|20160515|20171231|20|00|00|00
300004047|1000|O01|5100000000273|LAU JIE FANG PROMOTION - S6-2-A06|00001400|00023034|00130437|Casual Leasing - Lot No S6-2-A06|00000000|0|20160801|20160831|20171231|16|00|00|00
300002754|3000|C01|4100000000013|Kota Kinabalu Airport - Self Managed Car Park (Cont fr 4100000000006 Oct 2017)|00003051|00021726|00130303|Kota Kinabalu Airport - Self Managed Car Park|00000000|0|20171101|00021130|0|85|00|00|00
300005626|1000|O01|5100000000266|Krispy Kreme Promotion|00001000|00022581|00130888|LOT NO 1, CP DOMESTIC, KLIA (IVEC)|00000000|0|20160701|20160731|20171231|17|00|00|00
MAN|1000|M05|2500000000190|Eraman Duty Free|00001400|00016384|00130121|LOT NO. S6-2-A07|00000000|0|20151101|20181031|20181031|35|00|00|00
300002514|1000|O01|5100000000242|S6 - Retail One Promotion|00001400|00022043|00130424|PROMOTION  NO 4, LOT S6-L2-A40|00000000|20160331|20160301|20160331|20171231|21|00|00|00
300002329|3000|M05|2500000000244|7-Eleven|00003051|00018931|00130269|LOT L2A09, T1|00000000|0|20160701|20190630|20190630|35|00|00|00
MAN|1000|M05|2500000000181|Duty Free Liquor & Tobacco|00001400|00020132|00130389|Lot No. S3-2-A09|00000000|20180630|20150701|20180630|20180630|35|00|00|00
300001870|1000|O01|5100000000275|Barry Smith Promotion KLIA|00001000|00022951|00130893|LOT NO 2, CONTACT PIER DOMESTIC, KLIA|00000000|0|20160901|20160930|20171231|15|00|00|00
300002344|1000|O01|5100000000311|Dunkin Donuts Promotion|00001400|00024200|00130456|Lot no S2-3-L43, Dept Level, Public Concorse klia2|00000000|0|20170501|20170531|20171231|07|00|00|00
300002797|1000|O01|5100000000312|Dome Cafe Promo at Gate L16|00001400|00024288|00130457|Promo Gate L16, Sector 3, klia2|00000000|0|20170408|20170430|20171231|08|00|00|00
300005932|1000|O01|5100000000321|ISLAMIC AID PROMOTION|00001400|00022045|00130422|PROMOTION NO 8, LOT NO S6-L2-A40|00000000|0|20170715|20170831|20171231|05|00|00|00
MAN|1000|O01|5100000000285|FASHION CLEARANCE SALES|00001400|00023327|00130440|Promo Gate L, Sector 3, International Departure KLIA2|00000000|0|20161024|00021130|0|98|00|00|00
300000078|1000|O01|5100000000326|Lancome Temporary Promo|00001000|00024203|00130934|Lot no 2, Satellite Building, KLIA|00000000|20171031|20171001|20171031|20171031|00|00|00|00
MAN|1000|O01|5100000000315|M&M Mars Promotion|00001000|00024422|00130940|Lot 6, CP International, KLIA|00000000|0|20170601|20170731|20171231|06|00|00|00
300005777|1000|M02|2200000000166|M&N Vision|00001000|00024510|00130907|LOT NO. MTBDL AVM01a|00000000|0|20170101|20191231|20191231|35|00|00|00
MAN|1000|M02|2200000000169|Gloria Jean's Coffee.|00001000|00024720|00130909|MTBAP F1, ARRIVAL LEVEL, MAIN TERMINAL BUILDING|00000000|20190131|20170201|20190131|20190131|23|00|00|00
MAN|1000|O01|5100000000327|CHRISTIAN DIOR PROMO|00001000|00024698|00130960|LOT CP1, Contact Pier KLIA|00000000|20171130|20171016|20171130|20171130|01|00|00|00
300002408|1000|M03|2300000000089|Plaza Premium Lounge|00001000|00013668|00130666|SATMZ 20|00000000|0|20161201|20181130|20181130|23|00|00|00
MAN|1000|O01|5100000000324|Giorgio Armani Promo|00001000|00024671|00130958|Lot no 3, CP|00000000|20171031|20170801|20171031|20171031|02|00|00|00
300000851|1000|O01|5100000000304|Traveller Needs - Casual Leasing|00001400|00023969|00130453|LOT NO S3-1A-A03|00000000|0|20170301|20170331|20171231|09|00|00|00
300002754|1000|C01|4100000000028|Self Managed Car Park - Zon C klia2 (Cont fr 4100000000019 Dec 2016)|00001000|00021642|00130849|Self Managed Car Park - Zon C klia2|00000000|0|20170101|00021130|0|95|00|00|00
300005403|1000|C01|4100000000042|Touch N Go Sdn Bhd ( 406400-x) - contract before 41-27|00001000|00024500|00130948|Touch N Go Sdn Bhd ( 406400-x)|00000000|0|20170501|00021130|0|91|00|00|00
300005764|1000|T04|3400000000005|NAKANO CONSTRUCTION SDN BHD|00001000|00023288|00130898|HS(D) 7507|00000000|0|20161101|20171111|20171111|12|06|00|00
300005982|1000|M02|2200000000167|C.S.R Coffee.Sandwich.Revival|00001000|00023728|00130912|LOT NO CPD 19B, CONTACT PIER DOMESTIC, KLIA|00000000|20190228|20170301|20190228|20190228|23|00|00|00
MAN|1000|O01|5100000000316|ERAMAN Toys Promo CP|00001000|00024421|00130941|Lot 11, CP International, KLIA|00000000|0|20170701|20170731|20171231|05|00|00|00
300004086|1000|O01|5100000000280|CUIR BOUTIQUE|00001400|00023183|00130438|LOT S1-1A-A05 (Casual Leasing)|00000000|0|20160801|20161031|20180331|19|00|00|00
300005453|1000|O01|5100000000281|SITI KHADIJAH PROMOTION|00001400|00023326|00130441|LOT NO S2-3-L19, SECTOR 2, DEPARTURE HALL KLIA2|00000000|0|20161001|20161031|20171231|14|00|00|00
300005442|3000|O01|5100000000443|MWM TRADING|00003017|00020872|00130135|LOT DL06, DEPARTURE LEVEL|00000000|0|20151101|20151130|20180131|26|00|00|00
300005979|3000|O01|5100000000746|DAILY PROMO-TEAM SPORTS|00003020|00013331|00130081|Welcome Lounge, Airside Arrival Hall|00000000|20171116|20171115|20171116|20171116|00|00|00|00
300002754|3000|C01|4100000000014|Miri Airport - Self Managed Car Park (Cont fr 4100000000007 Oct 2017)|00003073|00021725|00130186|Miri Airport - Self Managed Car Park|00000000|0|20171101|00021130|0|85|00|00|00
300005900|3000|A01|1100000000581|DAILY ADV - GNE HMP SDN BHD|00003014|00024160|00130056|ADV/MKZ/MTB (B)/01|00000000|0|20170601|20171231|20171231|06|00|00|00
300005980|3000|O01|5100000000747|DAILY PROMO-KL/RIZAL AGENCY (AIA PUBLIC TAKAFUL)|00003013|00022958|00130149|PC 06, PUBLIC CONCOURSE|00000000|0|20171116|00021130|0|85|00|00|00
300005807|5000|M02|2200000000022|LOT FG01 MAMAK KANDAQ RICE|00005090|00024537|00130040|LOT FG01,MTB  (MAMAK KANDAQ RICE)|00000000|0|20170801|00021130|0|88|00|00|00
300005893|3000|O01|5100000000699|LABUAN COCONUT SHAKE|00003057|00024347|00130149|L1L14 (P)|00000000|0|20170701|20170930|20171231|05|00|00|00
300005443|3000|A01|1100000000611|WEIL RESOURCES SDN BHD|00003012|00020878|00130085|MTB/ADV/BB/33|00000000|0|20171101|20181031|20181031|11|01|00|00
300005443|3000|A01|1100000000611|WEIL RESOURCES SDN BHD|00003012|00020877|00130086|MTB/ADV/BB/34|00000000|0|20171101|20181031|20181031|11|01|00|00
300005862|3000|O01|5100000000679|IKHWAN HAKIM NATURES ENTERPRISE|00003016|00024124|00130091|MTA04/T, ARRIVAL HALL (LANDSIDE)|00000000|0|20170501|20171031|20180131|08|00|00|00
300001359|3000|P01|9200000000067|SUPRI MANAGEMENT - FASHION AND / OR ACCESSORIES|00003011|00010058|00130101|L2AR17, Level 2, Domestic Departure/Arrival (Airside)|00000000|0|20151001|20170930|20190930|47|00|00|00
300002408|3000|M02|2200000000185|PLAZA PREMIUM LOUNGE MALAYSIA SDN BHD|00003020|00009762|00130050|LOT NO A3, PUBLIC CONCOURSE|00000000|0|20160401|20190331|20171031|18|05|00|00
300005649|3000|M05|2500000000254|SKY|00003051|00009499|00130016|LOT NO. L1A09, LEVEL 1, AIRSIDE|00000000|0|20161101|20191031|20191031|35|05|00|00
300001831|3000|T01|3100000001610|WESTSTAR AVIATION SERVICE SDN BHD|00003073|00024678|00130220|FA10, FIRST FLOOR, DEPARTURE HALL|00000000|20201031|20171101|20201031|20201031|35|05|00|00
300005981|3000|O01|5100000000748|DAILY PROMO - BIOBOSS MARKETING|00003013|00018304|00130128|PC 03, Public Concourse|00000000|20171130|20171115|20171130|20171130|00|00|00|00
300003486|3000|A01|1100000000610|GAC CARGO SYSTEMS (M) SDN BHD|00003057|00013925|00130090|LOT L1A10|00000000|0|20171101|20181031|20181031|11|01|00|00
300002754|3000|C01|4100000000012|Kuching Airport - Self Managed Car Park (Cont fr 4100000000005 Oct 2017)|00003071|00021347|00130179|Kuching Airport - Self Managed Car Park|00000000|0|20171101|00021130|0|85|00|00|00
